method,n,rmse_log,mae_log,rmse_volume,mae_volume,subset
Bayesian Gompertz MAP,8603,0.46156445075050945,0.4077127077867312,0.6993549543961317,0.14605026947712502,All
MAP-based correction,8603,0.26187252265355054,0.17169917586303693,0.45319959456130027,0.09105403688924886,All
Bayesian Gompertz MAP,1066,0.7020827179151532,0.6645198421253221,0.4877306423795559,0.2243495929368591,decreasing
MAP-based correction,1066,0.3714695664286161,0.29050164286924857,0.3292322917107127,0.10935531064868406,decreasing
Bayesian Gompertz MAP,262,0.7080460918548788,0.5387491632565407,3.6170288256186254,1.3726054715896787,rapid_growth
MAP-based correction,262,0.8690904503262836,0.7238496103459461,1.9318590384820893,1.0846594980954996,rapid_growth
Bayesian Gompertz MAP,1387,0.2589244602617006,0.19980127623237642,0.4622617824595597,0.10680872538581196,slow_growth
MAP-based correction,1387,0.2852529871610223,0.22966599167645424,0.5808461471988109,0.12729391856089442,slow_growth
Bayesian Gompertz MAP,5888,0.428876558962998,0.4043644059911914,0.19765163929138785,0.08653999092635832,stable
MAP-based correction,5888,0.14979623185029328,0.1119663604424606,0.18689540627030712,0.03499111152542958,stable
