fold,method,n_test,alpha,poly,loss,length,noise,k
0,ridge,64,0.1,False,0.2720488615772416,,,
0,poly_ridge,64,10.0,True,0.2992482385647734,,,
0,krr,64,0.1,,0.2977350770554126,5.0,,
0,gp,64,,,0.29430364219258465,5.0,0.2,
0,knn,64,,,0.3340548892913917,,,20.0
1,ridge,57,1.0,False,0.30417861384143513,,,
1,poly_ridge,57,10.0,True,0.3189618052133633,,,
1,krr,57,0.1,,0.29966905497994395,5.0,,
1,gp,57,,,0.29486592616280566,5.0,0.5,
1,knn,57,,,0.3423657550120497,,,10.0
2,ridge,62,1.0,False,0.27809672282947,,,
2,poly_ridge,62,100.0,True,0.3339110807090331,,,
2,krr,62,0.1,,0.31066487430860407,5.0,,
2,gp,62,,,0.2876552986072786,5.0,0.5,
2,knn,62,,,0.32488694891644404,,,20.0
3,ridge,58,1.0,False,0.25337404150966286,,,
3,poly_ridge,58,100.0,True,0.3013402155784418,,,
3,krr,58,0.1,,0.27607510243636,5.0,,
3,gp,58,,,0.27075896062587196,5.0,0.5,
3,knn,58,,,0.29807714299624066,,,20.0
4,ridge,59,1.0,False,0.2545599730139616,,,
4,poly_ridge,59,100.0,True,0.3127471213591353,,,
4,krr,59,0.1,,0.2828959334242965,5.0,,
4,gp,59,,,0.2912795063480178,5.0,0.5,
4,knn,59,,,0.3252062492094111,,,20.0
